Business Family,Business Unit,Customer,Customer Type,CustomerKey,Line of Business,Phone,Search Type
O1,1,Brentano's Shop,G2,10006983,nao informado,816-455-8733,C
O1,1,Healtheon Shop,G2,10014810,nao informado,816-455-8733,C
O1,1,Onestar Shop,G2,10020909,nao informado,816-455-8733,C
O1,1,WDND Shop,G2,10026348,nao informado,816-455-8733,C
O2,1,A&G Shop,G1,10000457,nao informado,816-455-8733,C
O2,1,Accent Market,G1,10002117,nao informado,816-455-8733,C
O2,1,ACS Market,G2,10002244,nao informado,816-455-8733,C
O2,1,C3 Supermarket,G2,10007253,nao informado,816-455-8733,C
O2,1,CalComp Shop,G3,10007457,nao informado,816-455-8733,C
O2,1,Day Market,G2,10009645,nao informado,816-455-8733,C
O2,1,Edmark Shop,G1,10010923,nao informado,816-455-8733,C
O2,1,Federal Supermarket,G3,10011724,nao informado,816-455-8733,C
O2,1,Fenwick Supermarket,G2,10011870,nao informado,816-455-8733,C
O2,1,Gamma Supermarket,G2,10013039,nao informado,816-455-8733,C
O2,1,Gate Shop,G2,10013252,nao informado,816-455-8733,C
O2,1,Harte-Hanks Market,G2,10014469,nao informado,816-455-8733,C
O2,1,Harvey Shop,G2,10014533,nao informado,816-455-8733,C
O2,1,Holy Supermarket,G2,10016542,nao informado,816-455-8733,C
O2,1,K Shop,G2,10018518,nao informado,816-455-8733,C
O2,1,Karsings,G2,10018871,nao informado,816-455-8733,C
O2,1,Kendrick Store,G2,10018950,nao informado,816-455-8733,C
O2,1,KentISP Shop,G2,10019109,nao informado,816-455-8733,C
O2,1,Kentucky Supermarket,G2,10019150,nao informado,816-455-8733,C
O2,1,Litton Supermarket,G2,10019880,nao informado,816-455-8733,C
O2,1,Lobster Market,G2,10019952,nao informado,816-455-8733,C
O2,1,Lucky Shop,G2,10020080,nao informado,816-455-8733,C
O2,1,Matradi Megastore,G2,10020184,nao informado,816-455-8733,C
O2,1,MaXpeed Shop,G2,10020239,nao informado,816-455-8733,C
O2,1,Maxtor Shop,G2,10020256,nao informado,816-455-8733,C
O2,1,Maxwell Supermarket,G2,10020266,nao informado,816-455-8733,C
O2,1,Old Store,G1,10020715,nao informado,816-455-8733,C
O2,1,Pacific Market,G2,10021203,nao informado,816-455-8733,C
O2,1,PacificServ Shop,G2,10021223,nao informado,816-455-8733,C
O2,1,Papyrus Shop,G2,10021459,nao informado,816-455-8733,C
O2,1,R.J. Market,G2,10022444,nao informado,816-455-8733,C
O2,1,Sigma Shop,G2,10024255,nao informado,816-455-8733,C
O2,1,Talarians,G2,10025024,nao informado,816-455-8733,C
O2,1,Target Gigstore,G1,10025052,nao informado,816-455-8733,C
O2,1,Tartanchase Shop,G1,10025086,nao informado,816-455-8733,C
O2,1,Team Supermarket,G3,10025237,nao informado,816-455-8733,C
O2,1,Teamsolve Shop,G1,10025242,nao informado,816-455-8733,C
O2,1,Ventana Maxistore,G1,10026081,nao informado,816-455-8733,C
O2,1,Xentec Shop,G2,10026560,nao informado,816-455-8733,C
O2,1,Xilinix Midstore,G2,10026606,nao informado,816-455-8733,C
O2,1,Zocalo Shop,G2,10027629,nao informado,816-455-8733,C
R1,1,A&B Shop,G3,10000456,nao informado,816-455-8733,C
R1,1,A1 Store,G3,10000461,nao informado,816-455-8733,C
R1,1,Accrue Shop,G2,10002139,nao informado,816-455-8733,C
R1,1,Betacorp Shop,G2,10005006,nao informado,816-455-8733,C
R1,1,Central Supermarket,G2,10009356,nao informado,816-455-8733,C
R1,1,Crew Superstore,G2,10023023,nao informado,816-455-8733,C
R1,1,Dci Shop,G3,10009652,nao informado,816-455-8733,C
R1,1,DDR Shop,G2,10009660,nao informado,816-455-8733,C
R1,1,Ed Store,G2,10010881,nao informado,816-455-8733,C
R1,1,EDGE Supermarket,G2,10010886,nao informado,816-455-8733,C
R1,1,Elbit Market,G2,10010990,nao informado,816-455-8733,C
R1,1,Ferst Shop,G2,10011923,nao informado,816-455-8733,C
R1,1,Finder Shop,G2,10012328,nao informado,816-455-8733,C
R1,1,Fins Shop,G2,10012425,nao informado,816-455-8733,C
R1,1,Gastown Store,G2,10013238,nao informado,816-455-8733,C
R1,1,Harts Superstore,G3,10014471,nao informado,816-455-8733,C
R1,1,HMR Shop,G2,10016303,nao informado,816-455-8733,C
R1,1,Homestead Market,G3,10016609,nao informado,816-455-8733,C
R1,1,Icon Superstore,G2,10017036,nao informado,816-455-8733,C
R1,1,K&M Supermarket,G2,10018623,nao informado,816-455-8733,C
R1,1,Keystone Store,G3,10019410,nao informado,816-455-8733,C
R1,1,Koppers Supermarket,G2,10019664,nao informado,816-455-8733,C
R1,1,Lee Megastore,G2,10017828,nao informado,816-455-8733,C
R1,1,Pacific Store,G3,10021204,nao informado,816-455-8733,C
R1,1,PAP Supermarket,G2,10021422,nao informado,816-455-8733,C
R1,1,Paracel Gigaplace,G2,10021485,nao informado,816-455-8733,C
R1,1,PayMaxx Shop,G2,10021794,nao informado,816-455-8733,C
R1,1,QualServe Shop,G2,10022168,nao informado,816-455-8733,C
R1,1,Revnet Market,G2,10023241,nao informado,816-455-8733,C
R1,1,Sage Supermarket,G1,10023511,nao informado,816-455-8733,C
R1,1,Salamander Supermarket,G2,10023538,nao informado,816-455-8733,C
R1,1,Screen Supermarket,G2,10024022,nao informado,816-455-8733,C
R1,1,T.J.T. Supermarket,G1,10024919,nao informado,816-455-8733,C
R1,1,Tandy Superstore,G2,10025039,nao informado,816-455-8733,C
R1,1,TeamStore,G1,10025241,nao informado,816-455-8733,C
R1,1,Texasgulf Market,G2,10025249,nao informado,816-455-8733,C
R1,1,UniPress Shop,G2,10025515,nao informado,816-455-8733,C
R2,1,?change Store,G2,10010832,nao informado,816-455-8733,C
R2,1,A-ARVIN Store,G2,10000474,nao informado,816-455-8733,C
R2,1,Abbotsbury Shop,G2,10000480,nao informado,816-455-8733,C
R2,1,Abbott Shop,G2,10000481,nao informado,816-455-8733,C
R2,1,Acacia Shop,G2,10001784,nao informado,816-455-8733,C
R2,1,AccuCom Shop,G2,10002142,nao informado,816-455-8733,C
R2,1,ACCUCOMP Shop,G3,10002144,nao informado,816-455-8733,C
R2,1,Ace Market,G2,10002153,nao informado,816-455-8733,C
R2,1,Acer Superstore,G3,10002154,nao informado,816-455-8733,C
R2,1,ACME Maxiplace,G2,10002161,nao informado,816-455-8733,C
R2,1,Age Shop,G2,10003720,nao informado,816-455-8733,C
R2,1,Bens Megaplace,G2,10004245,nao informado,816-455-8733,C
R2,1,C.O.F. Shop,G2,10007183,nao informado,816-455-8733,C
R2,1,Caleidoscopio Supermarket,G2,10007468,nao informado,816-455-8733,C
R2,1,Calypso Maxi Store,G2,10007536,nao informado,816-455-8733,C
R2,1,CAM Market,G2,10007564,nao informado,816-455-8733,C
R2,1,Cambio Shop,G2,10007566,nao informado,816-455-8733,C
R2,1,Capitola Market,G2,10008593,nao informado,816-455-8733,C
R2,1,DCP Supermarket,G3,10009653,nao informado,816-455-8733,C
R2,1,Debian Shop,G2,10009697,nao informado,816-455-8733,I
R2,1,Del Supermarket,G2,10009907,nao informado,816-455-8733,C
R2,1,East Shop,G2,10010717,nao informado,816-455-8733,C
R2,1,Edify Shop,G2,10010897,nao informado,816-455-8733,C
R2,1,Edna Megaplace,G2,10010935,nao informado,816-455-8733,C
R2,1,EDS Shop,G2,10010974,nao informado,816-455-8733,C
R2,1,Embedded Supermarket,G3,10011089,nao informado,816-455-8733,C
R2,1,Equitable Store,G2,10011360,nao informado,816-455-8733,C
R2,1,Farr Market,G2,10011521,nao informado,816-455-8733,C
R2,1,Federal Supermarket,G2,10011623,nao informado,816-455-8733,C
R2,1,Firehole Shop,G2,10012514,nao informado,816-455-8733,C
R2,1,Garlin Supermarket,G2,10013137,nao informado,816-455-8733,C
R2,1,Gate9th Shop,G2,10013312,nao informado,816-455-8733,C
R2,1,Gatierf Supermarket,G2,10013341,nao informado,816-455-8733,C
R2,1,Grove Supermarket,G2,10013871,nao informado,816-455-8733,C
R2,1,Gulf Market,G2,10014047,nao informado,816-455-8733,C
R2,1,GURUs Shop,G2,10014059,nao informado,816-455-8733,C
R2,1,H.H. Store,G2,10014064,nao informado,816-455-8733,C
R2,1,Haz-Mat Store,G2,10014739,nao informado,816-455-8733,C
R2,1,Hegemony Shop,G2,10015030,nao informado,816-455-8733,C
R2,1,Helius Shop,G2,10015325,nao informado,816-455-8733,C
R2,1,Heurikon Shop,G2,10015824,nao informado,816-455-8733,C
R2,1,Hill Supermarket,G2,10016113,nao informado,816-455-8733,C
R2,1,IBEX Shop,G2,10016784,nao informado,816-455-8733,C
R2,1,IBVA Shop,G2,10016858,nao informado,816-455-8733,C
R2,1,iLanguage Shop,G2,10017553,nao informado,816-455-8733,C
R2,1,K Supermarket,G2,10018580,nao informado,816-455-8733,C
R2,1,K.C. Supermarket,G2,10018628,nao informado,816-455-8733,C
R2,1,Kimball Supermarket,G2,10019514,nao informado,816-455-8733,C
R2,1,Lewis Supermarket,G2,10019812,nao informado,816-455-8733,C
R2,1,LiveWORLD Shop,G2,10019909,nao informado,816-455-8733,C
R2,1,Maui Store,G2,10020193,nao informado,816-455-8733,C
R2,1,MAXSTRAT Shop,G2,10020247,nao informado,816-455-8733,C
R2,1,NACSCORP Shop,G2,10020446,nao informado,816-455-8733,C
R2,1,NECX Market,G2,10020639,nao informado,816-455-8733,C
R2,1,One Store,G2,10020864,nao informado,816-455-8733,C
R2,1,OutPost Market,G2,10020931,nao informado,816-455-8733,C
R2,1,Output Supermarket,G2,10020962,nao informado,816-455-8733,C
R2,1,Pacel Shop,G2,10021145,nao informado,816-455-8733,C
R2,1,Pacific Supermarket,G2,10021185,nao informado,816-455-8733,C
R2,1,Packard Supermarket,G2,10021231,nao informado,816-455-8733,C
R2,1,PageWave Megastore,G2,10021300,nao informado,816-455-8733,C
R2,1,PageWeavers Shop,G2,10021302,nao informado,816-455-8733,C
R2,1,Palo Supermarket,G2,10021331,nao informado,816-455-8733,C
R2,1,Pinnacle Supermarket,G2,10021986,nao informado,816-455-8733,C
R2,1,Qwest Shop,G2,10022423,nao informado,816-455-8733,C
R2,1,R&J Shop,G2,10022431,nao informado,816-455-8733,C
R2,1,Radio Market,G2,10000601,nao informado,816-455-8733,C
R2,1,RC Market,G2,10022732,nao informado,816-455-8733,C
R2,1,RC Shop,G2,10022730,nao informado,816-455-8733,C
R2,1,Renaissance Supermarket,G3,10023022,nao informado,816-455-8733,C
R2,1,ReviewBooth Shop,G2,10023235,nao informado,816-455-8733,C
R2,1,Revolutionary Supermarket,G2,10023244,nao informado,816-455-8733,C
R2,1,Satyam Shop,G2,10023785,nao informado,816-455-8733,C
R2,1,Savetz Store,G2,10023793,nao informado,816-455-8733,C
R2,1,Scientific Supermarket,G2,10024003,nao informado,816-455-8733,C
R2,1,Scottish Supermarket,G2,10024009,nao informado,816-455-8733,C
R2,1,Screaming Market,G2,10024010,nao informado,816-455-8733,C
R2,1,Southam Supermarket,G2,10024524,nao informado,816-455-8733,C
R2,1,Southwire Store,G2,10024550,nao informado,816-455-8733,C
R2,1,T.F.C. Shop,G2,10024918,nao informado,816-455-8733,C
