Ano,Mês,Dia,Ano,Mês,Dia,Ano,Mês,Dia,Ano,Mês,Dia
2018,janeiro,9,2017,janeiro,12,2017,janeiro,9,2018,janeiro,9
2018,janeiro,9,2017,janeiro,13,2017,janeiro,10,2018,janeiro,9
2018,janeiro,10,2017,janeiro,12,2017,janeiro,9,2018,janeiro,10
2018,janeiro,10,2017,janeiro,13,2017,janeiro,10,2018,janeiro,10
2018,janeiro,15,2017,janeiro,18,2017,janeiro,15,2018,janeiro,15
2018,janeiro,16,2017,janeiro,19,2017,janeiro,16,2018,janeiro,16
2018,janeiro,17,2017,janeiro,20,2017,janeiro,17,2018,janeiro,17
2018,janeiro,17,2017,janeiro,21,2017,janeiro,18,2018,janeiro,17
2018,janeiro,17,2017,janeiro,25,2017,janeiro,22,2018,janeiro,17
2018,janeiro,18,2017,janeiro,21,2017,janeiro,18,2018,janeiro,18
2018,janeiro,18,2017,janeiro,22,2017,janeiro,19,2018,janeiro,18
2018,janeiro,18,2017,janeiro,27,2017,janeiro,24,2018,janeiro,18
2018,janeiro,19,2017,janeiro,22,2017,janeiro,19,2018,janeiro,19
2018,janeiro,22,2017,janeiro,25,2017,janeiro,22,2018,janeiro,22
2018,janeiro,22,2017,janeiro,26,2017,janeiro,23,2018,janeiro,22
2018,janeiro,22,2017,janeiro,27,2017,janeiro,24,2018,janeiro,22
2018,janeiro,22,2017,fevereiro,10,2017,fevereiro,7,2018,janeiro,22
2018,janeiro,23,2017,janeiro,26,2017,janeiro,23,2018,janeiro,23
2018,janeiro,23,2017,janeiro,27,2017,janeiro,24,2018,janeiro,23
2018,janeiro,23,2017,janeiro,28,2017,janeiro,25,2018,janeiro,23
2018,janeiro,24,2017,janeiro,19,2017,janeiro,16,2018,janeiro,24
2018,janeiro,24,2017,janeiro,27,2017,janeiro,24,2018,janeiro,24
2018,janeiro,24,2017,janeiro,28,2017,janeiro,25,2018,janeiro,24
2018,janeiro,25,2017,janeiro,28,2017,janeiro,25,2018,janeiro,25
2018,janeiro,25,2017,janeiro,29,2017,janeiro,26,2018,janeiro,25
2018,janeiro,26,2017,janeiro,28,2017,janeiro,25,2018,janeiro,26
2018,janeiro,26,2017,janeiro,29,2017,janeiro,26,2018,janeiro,26
2018,janeiro,26,2017,fevereiro,1,2017,janeiro,29,2018,janeiro,26
2018,janeiro,29,2017,janeiro,29,2017,janeiro,26,2018,janeiro,29
2018,janeiro,29,2017,fevereiro,1,2017,janeiro,29,2018,janeiro,29
2018,janeiro,29,2017,fevereiro,2,2017,janeiro,30,2018,janeiro,29
2018,janeiro,29,2017,fevereiro,3,2017,janeiro,31,2018,janeiro,29
2018,janeiro,30,2017,fevereiro,1,2017,janeiro,29,2018,janeiro,30
2018,janeiro,30,2017,fevereiro,2,2017,janeiro,30,2018,janeiro,30
2018,janeiro,30,2017,fevereiro,4,2017,fevereiro,1,2018,janeiro,30
2018,janeiro,31,2017,fevereiro,2,2017,janeiro,30,2018,janeiro,31
2018,janeiro,31,2017,fevereiro,3,2017,janeiro,31,2018,janeiro,31
2018,fevereiro,1,2017,fevereiro,4,2017,fevereiro,1,2018,fevereiro,1
2018,fevereiro,1,2017,fevereiro,5,2017,fevereiro,2,2018,fevereiro,1
2018,fevereiro,1,2017,fevereiro,10,2017,fevereiro,7,2018,fevereiro,1
2018,fevereiro,2,2017,fevereiro,5,2017,fevereiro,2,2018,fevereiro,2
2018,fevereiro,2,2017,fevereiro,8,2017,fevereiro,5,2018,fevereiro,2
2018,fevereiro,5,2017,fevereiro,8,2017,fevereiro,5,2018,fevereiro,5
2018,fevereiro,5,2017,fevereiro,9,2017,fevereiro,6,2018,fevereiro,5
2018,fevereiro,5,2017,fevereiro,11,2017,fevereiro,8,2018,fevereiro,5
2018,fevereiro,6,2017,fevereiro,9,2017,fevereiro,6,2018,fevereiro,6
2018,fevereiro,6,2017,fevereiro,10,2017,fevereiro,7,2018,fevereiro,6
2018,fevereiro,6,2017,fevereiro,11,2017,fevereiro,8,2018,fevereiro,6
2018,fevereiro,7,2017,fevereiro,10,2017,fevereiro,7,2018,fevereiro,7
2018,fevereiro,7,2017,fevereiro,11,2017,fevereiro,8,2018,fevereiro,7
2018,fevereiro,7,2017,fevereiro,12,2017,fevereiro,9,2018,fevereiro,7
2018,fevereiro,8,2017,fevereiro,11,2017,fevereiro,8,2018,fevereiro,8
2018,fevereiro,8,2017,fevereiro,12,2017,fevereiro,9,2018,fevereiro,8
2018,fevereiro,8,2017,fevereiro,15,2017,fevereiro,12,2018,fevereiro,8
2018,fevereiro,9,2017,fevereiro,12,2017,fevereiro,9,2018,fevereiro,9
2018,fevereiro,9,2017,fevereiro,15,2017,fevereiro,12,2018,fevereiro,9
2018,fevereiro,12,2017,fevereiro,15,2017,fevereiro,12,2018,fevereiro,12
2018,fevereiro,12,2017,fevereiro,16,2017,fevereiro,13,2018,fevereiro,12
2018,fevereiro,13,2017,fevereiro,16,2017,fevereiro,13,2018,fevereiro,13
2018,fevereiro,13,2017,fevereiro,17,2017,fevereiro,14,2018,fevereiro,13
2018,fevereiro,14,2017,fevereiro,17,2017,fevereiro,14,2018,fevereiro,14
2018,fevereiro,15,2017,fevereiro,18,2017,fevereiro,15,2018,fevereiro,15
2018,fevereiro,16,2017,fevereiro,18,2017,fevereiro,15,2018,fevereiro,16
