Sales Quantity,Sales Rep,Sales Price,Sales Margin Amount,Sales Cost Amount,Sales Amount Based on List Price,Sales Amount,Order Number,List Price,Line Number,Discount Amount,Invoice Date,Invoice Number
"","","","","","","","","","","","",""
0,104,"","401,86",0,0,"401,86",208991,0,2000,"",18/08/2018,110753
1,103,"1325,14","612,78","712,36","2760,7","1325,14",108989,"2760,7",3000,"1435,56",28/10/2017,315968
1,103,"1325,14","612,78","712,36","2760,7","1325,14",121863,"2760,7",3000,"1435,56",30/12/2017,329492
1,103,"1380,35","667,99","712,36","2760,7","1380,35",208989,"2760,7",3000,"1380,35",16/10/2018,115968
1,103,"1380,35","667,99","712,36","2760,7","1380,35",221863,"2760,7",3000,"1380,35",18/12/2018,129492
1,103,"202,68","104,8","97,88","385,84","202,68",109867,"385,84",2000,"183,16",14/09/2017,311967
1,103,"202,68","104,8","97,88","385,84","202,68",120116,"385,84",2000,"183,16",16/03/2017,324302
1,103,"206,02","90,88","115,14","408,52","206,02",109154,"408,52",95000,"202,5",09/09/2017,311630
1,103,"206,02","90,88","115,14","408,52","206,02",119524,"408,52",95000,"202,5",11/03/2017,323972
1,103,"206,08","29,05","177,03","376,61","206,08",202026,"376,61",40000,"170,53",01/05/2018,100965
1,103,"206,08","29,05","177,03","376,61","206,08",203657,"376,61",85000,"170,53",29/05/2018,103539
1,103,"206,08","29,05","177,03","376,61","206,08",204084,"376,61",1000,"170,53",02/06/2018,103898
1,103,207,"129,28","77,72","378,29",207,205578,"378,29",22000,"171,29",26/06/2018,106251
1,103,207,"129,34","77,66","378,29",207,211464,"378,29",29000,"171,29",25/09/2018,114087
1,103,207,"129,34","77,66","378,29",207,213248,"378,29",37000,"171,29",23/10/2018,116585
1,103,207,"129,34","77,66","378,29",207,221411,"378,29",29000,"171,29",27/03/2018,126383
1,103,207,"129,34","77,66","378,29",207,222829,"378,29",29000,"171,29",27/11/2018,127644
1,103,207,"129,34","77,66","378,29",207,224332,"378,29",37000,"171,29",25/12/2018,130094
1,103,"208,98","66,36","142,62","408,04","208,98",103318,"408,04",7000,"199,06",11/06/2017,303613
1,103,"211,13","113,25","97,88","385,84","211,13",209867,"385,84",2000,"174,71",02/09/2018,111967
1,103,"211,13","113,25","97,88","385,84","211,13",220116,"385,84",2000,"174,71",04/03/2018,124302
1,103,"212,2","6,48","205,72","467,53","212,2",109154,"467,53",119000,"255,33",09/09/2017,311630
1,103,"212,2","6,48","205,72","467,53","212,2",119524,"467,53",119000,"255,33",11/03/2017,323972
1,103,"213,21","135,55","77,66","378,29","213,21",321411,"378,29",29000,"165,08",20/03/2019,226383
1,103,"214,35","70,14","144,21","408,04","214,35",108317,"408,04",23000,"193,69",27/08/2017,310555
1,103,"214,35","70,14","144,21","408,04","214,35",112334,"408,04",1000,"193,69",19/10/2017,315163
1,103,"214,35","70,14","144,21","408,04","214,35",118825,"408,04",23000,"193,69",26/02/2017,322926
1,103,"214,35","70,14","144,21","408,04","214,35",123606,"408,04",1000,"193,69",21/12/2017,328703
1,103,"214,6","78,03","136,57","408,52","214,6",108387,"408,52",18000,"193,92",27/08/2017,310558
1,103,"214,6","78,03","136,57","408,52","214,6",112124,"408,52",2000,"193,92",15/10/2017,314895
1,103,"214,6","78,03","136,57","408,52","214,6",118889,"408,52",18000,"193,92",26/02/2017,322929
1,103,"214,6","78,03","136,57","408,52","214,6",123414,"408,52",2000,"193,92",17/12/2017,328441
1,103,"214,6","99,46","115,14","408,52","214,6",104258,"408,52",24000,"193,92",17/06/2017,304284
1,103,"214,6","99,46","115,14","408,52","214,6",114297,"408,52",30000,"193,92",18/11/2017,317848
1,103,"214,6","99,46","115,14","408,52","214,6",209154,"408,52",95000,"193,92",28/08/2018,111630
1,103,"214,6","99,46","115,14","408,52","214,6",219524,"408,52",95000,"193,92",28/02/2018,123972
1,103,"216,44","132,21","84,23","412,03","216,44",112222,"412,03",38000,"195,59",21/10/2017,315367
1,103,"216,44","132,21","84,23","412,03","216,44",123500,"412,03",38000,"195,59",23/12/2017,328903
1,103,"217,46","119,58","97,88","385,84","217,46",320116,"385,84",2000,"168,38",25/02/2019,224302
1,103,"217,69","75,07","142,62","408,04","217,69",203318,"408,04",7000,"190,35",30/05/2018,103613
1,103,"217,96","141,98","75,98","414,91","217,96",111579,"414,91",1000,"196,95",11/10/2017,314421
1,103,"217,96","141,98","75,98","414,91","217,96",122937,"414,91",1000,"196,95",13/12/2017,327973
1,103,"221,04","105,9","115,14","408,52","221,04",319524,"408,52",95000,"187,48",20/02/2019,223972
1,103,"221,04","15,32","205,72","467,53","221,04",106408,"467,53",45000,"246,49",13/08/2017,309247
1,103,"221,04","15,32","205,72","467,53","221,04",107251,"467,53",1000,"246,49",06/08/2017,308633
1,103,"221,04","15,32","205,72","467,53","221,04",107513,"467,53",38000,"246,49",12/08/2017,309166
1,103,"221,04","15,32","205,72","467,53","221,04",109870,"467,53",25000,"246,49",16/09/2017,312144
1,103,"221,04","15,32","205,72","467,53","221,04",112222,"467,53",44000,"246,49",21/10/2017,315367
1,103,"221,04","15,32","205,72","467,53","221,04",112634,"467,53",33000,"246,49",22/10/2017,315517
1,103,"221,04","15,32","205,72","467,53","221,04",112634,"467,53",45000,"246,49",16/11/2017,317577
1,103,"221,04","15,32","205,72","467,53","221,04",112634,"467,53",46000,"246,49",18/11/2017,317835
1,103,"221,04","15,32","205,72","467,53","221,04",117163,"467,53",45000,"246,49",12/02/2017,321638
1,103,"221,04","15,32","205,72","467,53","221,04",117890,"467,53",1000,"246,49",05/02/2017,321039
